Time;x;y;z;acc;temp;lumen
Time;x;y;z;total;;temp;lumen
70138;-0,68;-0,16;-0,1;0,498;0,874625;22,82;0
70642;-0,75;-0,18;-0,11;0,607;0,7978875;22,82;0
71147;-0,8;-0,1;-0,18;0,6824;0,7805625;22,82;0
71652;-1,47;-0,18;0,1;2,2033;0,9759125;22,82;0
72157;-1,18;-0,05;-0,2;1,4349;1,0049;22,82;0
72662;-0,81;-0,23;-0,29;0,7931;0,957925;22,82;0
73165;-1,1;-0,27;-0,4;1,4429;1,0265125;22,82;0
73670;-0,78;-0,34;-0,31;0,8201;1,0602125;22,82;1
74175;-0,81;-0,18;-0,32;0,7909;1,096825;22,82;0
74680;-0,74;-0,35;-0,27;0,743;1,113825;22,94;0
75184;-0,75;-0,13;-0,27;0,6523;1,1100625;22,82;0
75688;-0,72;-0,41;-0,29;0,7706;0,930975;22,82;0
76193;-0,71;-0,07;-0,19;0,5451;0,81975;22,82;0
76698;-0,67;-0,34;-0,38;0,7089;0,809225;22,82;0
77202;-0,72;0,05;-0,32;0,6233;0,706775;22,82;0
77707;-0,8;-0,37;-0,42;0,9533;0,723425;22,82;0
78212;-0,82;0,07;-0,33;0,7862;0,7228375;22,82;0
78716;-0,68;-0,31;-0,29;0,6426;0,7102875;22,94;0
79220;-0,84;0,03;-0,28;0,7849;0,7268625;22,82;0
79725;-0,8;-0,46;-0,36;0,9812;0,7531875;22,82;0
80230;-0,77;-0,06;-0,52;0,8669;0,7934125;22,82;0
80735;-0,74;-0,32;-0,27;0,7229;0,7951625;22,82;0
81239;-0,71;-0,07;-0,51;0,7691;0,8133875;22,82;0
81743;-0,75;-0,4;-0,3;0,8125;0,7957875;22,82;0
82248;-0,89;-0,05;-0,54;1,0862;0,8332875;22,82;0
82753;-0,93;-0,46;-0,39;1,2286;0,9065375;22,82;0
83257;-0,96;-0,16;-0,52;1,2176;0,960625;22,82;0
83762;-0,89;-0,27;-0,57;1,1899;0,9867125;22,82;0
84267;-0,95;-0,03;-0,41;1,0715;1,0122875;22,82;0
84771;-0,8;-0,61;-0,18;1,0445;1,0524875;22,82;0
85275;-1;0,29;-0,52;1,3545;1,1256625;22,82;0
85780;-0,81;-0,25;-0,31;0,8147;1,1259375;22,82;0
86285;-0,74;-0,02;-0,49;0,7881;1,088675;22,82;0
86790;-0,88;-0,41;-0,23;0,9954;1,059525;22,82;0
87293;-0,79;-0,05;-0,49;0,8667;1,0156625;22,82;0
87798;-0,85;-0,36;-0,35;0,9746;0,98875;22,82;1
88303;-0,89;-0,12;-0,54;1,0981;0,992075;22,82;0
88808;-0,82;-0,36;-0,46;1,0136;0,9882125;22,82;0
89312;-0,74;-0,11;-0,43;0,7446;0,911975;22,82;0
89817;-0,68;-0,27;-0,36;0,6649;0,89325;22,94;0
90321;-0,76;-0,09;-0,39;0,7378;0,8869625;22,82;0
90826;-0,52;-0,43;-0,32;0,5577;0,83225;22,82;0
91330;-1,12;-0,74;-0,32;1,9044;0,9619625;22,82;0
91835;-0,94;-0,61;-0,26;1,3233;1,00555;22,82;0
